prefix
hepto
here
heredo
herpeto
hetero
hex
hexa
hexadeca
hexakis
hexo
hiero
hind
hipp
hippo
hippocampo
hispano
histio
histo
histolo
historico
historio
hodo
holo
homeo
homo
hoplo
humero
hyalo
hydr
hydrido
hydro
hydroxy
hygro
hylo
hyo
hyp
hyper
hypno
hypo
hypothalamo
hyps
hypso
hystero
iatro
ibero
ichno
ichthyo
icosa
ictero
ideo
idio
il
ileo
iliaco
ilio
illyro
im
imido
imino
immuno
in
incudo
indeno
indo
infero
inflammo
info
infra
infundibulo
inguino
ino
insta
insulo
inter
interio
intermedio
interno
intestino
intesto
intra
intradermo
intro
inver
io
iod
iodo
iono
ipsi
ir
irido
is
ischio
islamo
iso
jejuno
judeo
jugulo
juxta
ka
kalo
karyo
kata
ker
kerat
kerato
kerauno
keto
kibi
kilo
kine
kinesi
kineto
kino
klepto
konio
la
labio
labro
lachrymo
lacrimo
lact
lacto
laeo
laevo
lamino
laparo
laryngo
latero
leio
lenticulo
lepido
lepto
leuco
leuko
lev
levo
lexico
lieno
lign
ligno
limbo
limno
lingua
linguo
lipo
lith
lithio
litho
loco
logico
logo
loki
longi
ludo
lumbo
lumino
luteo
lymphatico
lympho
lyo
lyso
macro
maculo
magico
magnesio
magnet
magneto
magni
magno
mal
malaco
malario
malto
mamillo
mamma
mammillo
mammilo
mammo
mandibulo
mangano
manno
masso
masto
materno
matri
maxi
maxillo
mc
mebi
mechanico
mechano
meco
medico
medio
medullo
mega
megalo
meibo
meio
mela
melano
melo
membrano
men
meningo
menisco
meno
mento
mer
mercapto
mero
mesangio
mesio
meso
met
meta
metabo
metabolo
metalla
metallo
metatarso
meteo
meteoro
meth
methano
metho
methoxy
methyl
metro
micro
micto
mid
midi
milli
milna
mini
mis
miso
mito
mixo
mnemo
moeso
molybdo
mon
monarcho
mono
morpho
moto
muci
muco
multi
musculo
musico
my
myco
myelo
myo
myria
myringo
myrmeco
mytho
myxo
nano
naphtho
narco
naso
nate
natro
naturo
naviculo
necro
nega
nekto
nemat
nemato
neo
nephro
nervo
nether
neur
neuro
neutro
nevo
new
nido
nifur
nigro
niobo
nitr
nitro
nitroso
nocti
nodo
nomino
nomo
non
nona
nonadeca
nor
normo
noso
notho
noto
nucleo
nulli
nutri
ob
obliquo
occipito
occluso
ocello
oct
octa
octadeca
octavo
octo
oculo
odonto
oeno
oesophago
off
olan
oleo
olfacto
oligo
olivo
ombro
omento
omni
omo
omphalo
on
ona
onco
oneiro
onto
onycho
oo
oophoro
operculo
ophidio
ophio
ophthalmo
opistho
opsono
optico
opto
or
orbito
organo
ornitho
oro
ortho
oryzo
oscillo
osmo
osseo
ossi
osteo
ostio
ostreo
ot
otico
oto
out
over
ovi
ovo
ovulo
oxa
oxalo
oxaza
oxido
oxo
oxy
pachy
paedo
palae
palaeo
palato
paleo
pallado
pallido
palmaro
palmo
palyno
pan
pancreatico
pancreato
panto
papillo
papulo
para
pari
parieto
parotideo
parvi
parvo
patello
patho
patri
patro
pauci
pebi
pedo
peg
pelagi
pelago
pelvi
pene
peno
pent
penta
pentadeca
pentakis
pento
peptido
pepto
per
perchloro
perfluoro
peri
pericardio
perineo
perio
periodonto
perma
peroxy
pesca
peta
petro
phaco
phaeo
phago
phallo
phanero
pharma
pharmaco
pharyngo
pheno
pheo
phil
philo
phlebo
phobo
phono
phoro
phospha
phospho
phosphoro
photo
photoelectro
phragmo
phrenico
phreno
phyco
phyllo
phylo
physi
physico
physio
phyto
pico
picro
picto
piezo
pilo
pineo
pisci
plagio
plani
plano
plantaro
planto
plasmo
plasto
platino
platy
pleni
pleo
plesio
pleuro
plexo
plumbo
plumo
pluri
pluto
pluvio
pneumato
pneumo
podo
poikilo
politico
poly
ponto
popliteo
porno
poro
porta
porto
post
posterio
postero
potamo
potentio
prae
praseo
pre
prefronto
prepro
presby
preter
primi
primo
pro
procto
proprio
propy
proso
prostato
prot
proteo
protero
proto
proximo
psammo
pseud
pseudo
psych
psycho
psychoto
psychro
ptero
pterygo
ptilo
pubo
pudendo
pulmo
pulpo
pulso
pupillo
purpureo
pycno
pyelo
pyloro
pyo
pyrano
pyro
pyrrolo
qu
quad
quadra
quadrato
quadri
quadro
quasi
quin
quinque
race
radiculo
radio
ramo
re
recti
recto
regio
religio
reni
reno
repa
repro
respiro
reticulo
retino
retro
rhabdo
rhamno
rheo
rhino
rhizo
rhodo
rhombi
rhyncho
ribo
ribonucleo
rifa
robo
rostro
roto
rubro
rufo
rugo
rugulo
rumino
rutheno
saccharo
sacculo
sacro
sal
salazo
salpingo
sapheno
sapro
sarco
scandio
scapho
scapulo
schizo
schm
sclero
scoto
scuto
seco
seismi
seismo
seleno
self
semanto
semi
semio
semper
seno
sensori
sept
septa
septi
septico
septo
sero
servo
sesqui
sex
sexa
sexi
sexo
sexuo
sialo
sialyl
sidero
silico
silvi
silvo
sinistr
sinistro
sino
sinu
sinuso
sito
skeleto
skoto
socio
soleno
solvo
somato
sono
spatio
spectro
speleo
sperma
spermato
spermo
spheno
sphero
sphingo
sphygm
spino
spiro
splanchno
spleno
spoligo
spondyl
spondylo
spongio
sporo
squamo
squamoso
stanno
staphylo
stathmo
stato
staturo
stauro
steato
steno
step
stereo
sterno
stibio
stibo
stoichio
stomato
strato
strepto
striato
stromo
strontio
stygo
stylo
sub
succin
sulco
sulf
sulfa
sulfo
sulph
sulpho
super
supero
supra
supre
sur
sursum
syllecto
sym
sympathico
sympatho
syn
synapto
synchro
synovio
syro
tachy
talo
tango
tany
tapeto
tapho
tarso
tartro
taut
tauto
taxo
taxono
tebi
techni
techno
tecto
tectono
tele
teleio
teleo
telluro
telo
temporo
tendino
tendo
teno
tephro
ter
tera
terato
tergo
tert
tetr
tetra
tetracosa
tetradeca
tetrahydro
tetrakis
thalamo
thalasso
thallo
thanato
theo
therio
therm
thermo
thi
thia
thigmo
thio
thoraco
thorough
thromb
thrombo
through
thymo
thyro
tibio
titano
to
tomo
tono
tonsillo
topo
toxico
toxo
trabeculo
tracheo
trans
transitive
trapezio
tri
tribo
tricho
trideca
trigemino
triplo
tris
trit
trito
trocho
tropho
tropo
trypano
tuberculo
tubero
tubo
tubulo
tungsto
turbo
turco
twi
twin
tycho
tympano
typho
typo
tyro
uber
udi
ulcero
ulno
ultra
um
umb
umbilico
un
undeca
under
unfeigned
uni
up
ur
uran
urano
ureo
uretero
urethro
urino
uro
utero
utriculo
uveo
uvulo
vacci
vagino
vago
valvo
valvulo
vanadio
vanado
vari
vasculo
vaso
vegeto
velo
ven
veno
ventri
ventriculo
ventro
vermi
vertebro
vesico
vesiculo
vestibulo
vibro
vice
video
viginti
vin
viri
viro
viscero
visco
visuo
vitello
vitreo
vitro
volcano
vomero
vulvo
wan
were
where
with
wither
xanth
xantho
xeno
xero
xiphidio
xipho
xyl
xylo
xyr
yester
yobi
yocto
yotta
yttro
zebi
zepto
zetta
zinco
zio
zirco
zo
zono
zoo
zygo
zygomatico
zygoto
zymo
