prefix
sesqui
sex
sialo
sialyl
sidero
silico
silvo
sinistro
sino
skeleto
socio
somato
sono
spatio
spectro
speleo
spermato
spheno
sphero
spino
spiro
spleno
spondylo
spongio
sporo
squamo
steato
steno
step
stereo
sterno
stibio
strato
striato
stylo
sub
sulfa
sulfo
sulpho
super
supero
supra
sur
sym
sympatho
syn
synapto
synchro
tachy
talo
tarso
techni
techno
tecto
tectono
tele
teleo
telo
temporo
tephro
ter
tera
terato
tetr
tetra
tetradeca
tetrahydro
thalamo
thalasso
thanato
theo
thermo
thia
thigmo
thio
thoraco
thorough
thromb
thrombo
thymo
thyro
tibio
titano
to
tomo
tono
topo
toxico
tracheo
trans
tri
tribo
tricho
trideca
trigemino
tris
tropho
trypano
tubo
tubulo
turbo
twi
twin
tympano
uber
ulno
ultra
um
un
undeca
under
uni
up
ur
uretero
urethro
uro
utero
uveo
vagino
vasculo
vaso
velo
veno
ventriculo
ventro
vertebro
vesico
vestibulo
vibro
vice
video
viro
viscero
visco
visuo
vitreo
wan
were
where
with
wither
xantho
xeno
xero
xylo
yester
yocto
yotta
yttro
zepto
zetta
zinco
zoo
zygo
zygomatico
zymo
